Age Range Low,Age Range High, Gender,Race, ReadingLevel, SmokingStatus,AlcoholStatus,ActivityLevel,Disease, Complication,Image,Title,Content
40,100,Male,,,,,,CVD,,https://2qagfx2zrxut3i1gzf2k8bjp-wpengine.netdna-ssl.com/wp-content/themes/mindfood-theme/timthumb.php?src=/wp-content/uploads/2017/09/iStock-641428170-e1506560103236.jpg&w=700&h=350&zc=1,Heart Health Overview,"Based on your medical history and lifestyle we determined your risk of a heart attack, stroke, or death. Your risk is 20.4% which is relatively high. This means that if there were five people who had the same characteristics as you, one of them would have a severe event in the next 10 years. /Diabetes: Dan we noticed you have Type II Diabetes. Diabetes can damage your blood vessels, it is crucial that you are managing your blood sugar. Done correctly, this will help you reduce your chances of a heart attack, stroke and even death. When your diabetes is well monitored, the risk is still present, and can be even greater when blood sugars are not controlled. As you can see, diabetes is an intermediate risk which makes the endpoint risks a greater danger for you. /Blood Pressure: Your blood pressure is 135/70, which is above the normal level of 120/80. High blood pressure increases the heart’s workload, causing the heart muscle to thicken and become stiffer. This stiffening of the heart muscle is not normal and causes the heart to function abnormally. It also increases your risk of stroke, heart attack, kidney failure and congestive heart failure. When high blood pressure is present alongside obesity, smoking, high blood cholesterol levels or diabetes, the risk of heart attack or stroke increases even more."
40,100,Male,,,,,,CVD,,https://images.agoramedia.com/everydayhealth/gcms/Statins-Often-Interact-With-Other-Heart-Drugs-1440x810.jpg?width=722,Statins,Atorvastatin (Lipitor): Your physician recently prescribed a medication called atorvastatin which has the brand name Lipitor. This medication is a type of statin. Statins work by helping keep your blood vessels open for blood to easily flow through. Medical studies have shown that this medication will significantly lower your chances of having a heart attack. Make sure to talk with your doctor to understand how to take your medication.
40,100,Male,,,,,,CVD,,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/training-pace-calculator-1534874738.jpg?resize=480:*,Activity Level,"Low Activity: Based on your Apple HealthKit information, your activity levels are lower than normal. Remember it is important to keep an active lifestyle as it helps reduce your risk of developing heart disease and diabetes. If you are busier than normal, try to incorporate more activity into your daily commute or choosing to take stairs instead of elevators where possible. These small little changes add up and over time will have a significant affect on your future health!"
40,100,Male,,,,,,CVD,,https://www.cdc.gov/dotw/heart-disease-men/images/main_928px.jpg,Heart Disease in Men,"Men, on average, have a higher risk than women. The exact reasons why are unclear, all you need to remember is you need to be more careful with what you CAN control. "
40,100,Female,,,,,,CVD,,http://www.teluguone.com/tonecmsuserfiles/Heart%20Disease%20in%20Women(1).jpg,Heart Disease in Women,"You, are in luck! Women have a lower risk than men. "
40,100,,,,,,,CVD,,https://allofus.nih.gov/sites/default/files/aou-group.jpg,Aging and Heart Disease,"As you age, your chances of having a heart attack or stroke increase naturally. It is important to focus on aspects of your health that you can control."
40,100,,,,,,,CVD,,https://www.news-medical.net/image.axd?picture=2018%2F6%2Fshutterstock_By_Eviart.jpg,Diabetes and Heart Disease,"Dan we noticed you have Type II Diabetes. Diabetes can damage your blood vessels, it is crucial that you are managing your blood sugar. Done correctly, this will help you reduce your chances of a heart attack, stroke and even death. When your diabetes is well monitored, the risk is still present, and can be even greater when blood sugars are not controlled. As you can see, diabetes is an intermediate risk which makes the endpoint risks a greater danger for you. "
40,100,,,,,,,CVD,,https://www.healthline.com/hlcmsresource/images/imce/high-blood-pressure-hypertension-symptoms_thumb.jpg,Blood Pressure and Heart Disease,"Your blood pressure is 135/70, which is above the normal level of 120/80. High blood pressure increases the heart's workload, causing the heart muscle to thicken and become stiffer. This stiffening of the heart muscle is not normal and causes the heart to function abnormally. It also increases your risk of stroke, heart attack, kidney failure and congestive heart failure. When high blood pressure is present alongside obesity, smoking, high blood cholesterol levels or diabetes, the risk of heart attack or stroke increases even more."
40,100,,,,Never Smoked,,,CVD,,http://cdn.24.co.za/files/Cms/General/d/7340/3c44778b072c490ab4875f050ac7acc5.png,Smoking and Heart Disease,"We noticed that you no longer smoke - that is great! Just as a reminder, smokers have a higher risk in developing heart disease than nonsmokers. Cigarette smoking also interacts with other risk factors to greatly increase the risk for heart disease. Finally, remember that exposure to other people who smoke increases the risk of heart disease even for nonsmokers."
40,100,,,,Past Smoker,,,CVD,,http://cdn.24.co.za/files/Cms/General/d/7340/3c44778b072c490ab4875f050ac7acc5.png,Smoking and Heart Disease,"We noticed that you never smoked! Congrats! Just as a reminder, smokers have a higher risk in developing heart disease than nonsmokers. Cigarette smoking also interacts with other risk factors to greatly increase the risk for heart disease. Finally, remember that exposure to other people who smoke increases the risk of heart disease even for nonsmokers."
40,100,,,,,,Minimal (brisk walk 30min a day),CVD,,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/training-pace-calculator-1534874738.jpg?resize=480:*,Recent Activity Level,"We noticed your physical activity is below average for your age group. A sedentary lifestyle lowers HDL (good) cholesterol. Less HDL means there is less good cholesterol to remove LDL (bad) cholesterol from your arteries. Just 40 minutes of aerobic exercise (of moderate to vigorous intensity) three to four times a week is enough to lower both cholesterol and high blood pressure. And there are lots of options: brisk walking, swimming, cycling or even a dance class can fit the bill."
40,100,,,,,,Heavy (work out 3+ days a week),CVD,,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/training-pace-calculator-1534874738.jpg?resize=480:*,Recent Activity Level,"Your physical activity is above average for your age group, keep it up! For overall cardiovascular health, the AHA recommends 1) at least 30 minutes of moderate-intensity aerobic activity at least 5 days per week for a total of 150 minutes OR 2) at least 25 minutes of vigorous aerobic activity at least 3 days per week for a total of 75 minutes; or a combination of moderate- and vigorous-intensity aerobic activity."
40,100,,,,,6-10x week (heavy),,CVD,,https://www.sbs.com.au/food/sites/sbs.com.au.food/files/styles/full/public/gettyimages-178428155.jpg?itok=ueWwUzzF,Alcohol and Heart Disease,"On average you consume 6-10 alcoholic beverages a week. Drinking too much alcohol can raise blood pressure, and increase your risk for heart damage, stroke, cancer and other diseases. It can also contribute to high triglycerides, and produce irregular heartbeats. You should limit your alcohol consumption to no more than two drinks per day. The National Institute on Alcohol Abuse and Alcoholism defines one drink as 1.5 fluid ounces (fl. oz.) of 80-proof spirits (such as bourbon, scotch, vodka, gin, etc.), 5 fl. oz. of wine or 12 fl. oz. of regular beer."
40,100,,,,,1x week (social),,CVD,,https://www.sbs.com.au/food/sites/sbs.com.au.food/files/styles/full/public/gettyimages-178428155.jpg?itok=ueWwUzzF,Alcohol and Heart Disease,"On average we see that you consume 1 alcoholic beverage a week. The AHA recommends non-drinkers to continue alcohol abstinence and that women should limit their alcohol consumption to no more than one drink per day. Drinking too much alcohol can raise blood pressure, and increase your risk for heart damage, stroke, cancer and other diseases. It can also contribute to high triglycerides, and produce irregular heartbeats. The National Institute on Alcohol Abuse and Alcoholism defines one drink as 1.5 fluid ounces (fl. oz.) of 80-proof spirits (such as bourbon, scotch, vodka, gin, etc.), 5 fl. oz. of wine or 12 fl. oz. of regular beer."
